"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 02 10:10:52 GMT 2024","Fri Feb 02 10:10:53 GMT 2024","1047","QaseIO Smoke Test","Thread #1","tests.SuiteApiTest","tests.SuiteApiTest","suiteShouldBeUpdatedViaApi","Update Suite via API",""
"passed","Fri Feb 02 10:12:07 GMT 2024","Fri Feb 02 10:12:11 GMT 2024","3559","QaseIO Smoke Test","Thread #2","tests.ProjectTest","tests.ProjectTest","projectShouldNotBeCreatedEmptyProjectCode","Create Project with empty project code",""
"passed","Fri Feb 02 10:09:54 GMT 2024","Fri Feb 02 10:10:15 GMT 2024","21368","QaseIO Smoke Test","Thread #2","tests.TestCaseTest","tests.TestCaseTest","testCaseShouldBeCreated","Create Test Case",""
"passed","Fri Feb 02 10:12:16 GMT 2024","Fri Feb 02 10:12:17 GMT 2024","948","QaseIO Smoke Test","Thread #2","tests.TestCaseApiTest","tests.TestCaseApiTest","testCaseShouldBeCreatedViaApi","Create Test Case via API",""
"passed","Fri Feb 02 10:10:08 GMT 2024","Fri Feb 02 10:10:11 GMT 2024","3545","QaseIO Smoke Test","Thread #1","tests.LoginTest","tests.LoginTest","successfulLogin","Successful login",""
"passed","Fri Feb 02 10:11:41 GMT 2024","Fri Feb 02 10:11:47 GMT 2024","5445","QaseIO Smoke Test","Thread #2","tests.ProjectTest","tests.ProjectTest","projectShouldBeCreated","Create Project",""
"passed","Fri Feb 02 10:11:22 GMT 2024","Fri Feb 02 10:11:41 GMT 2024","19267","QaseIO Smoke Test","Thread #2","tests.TestCaseTest","tests.TestCaseTest","testCaseShouldBeUpdated","Update Test Case",""
"passed","Fri Feb 02 10:10:02 GMT 2024","Fri Feb 02 10:10:04 GMT 2024","2264","QaseIO Smoke Test","Thread #1","tests.LoginTest","tests.LoginTest","invalidEmailLogin","Unsuccessful login with invalid Email",""
"passed","Fri Feb 02 10:10:05 GMT 2024","Fri Feb 02 10:10:07 GMT 2024","2184","QaseIO Smoke Test","Thread #1","tests.LoginTest","tests.LoginTest","invalidPasswordLogin","Unsuccessful login with invalid password",""
"passed","Fri Feb 02 10:12:15 GMT 2024","Fri Feb 02 10:12:15 GMT 2024","536","QaseIO Smoke Test","Thread #2","tests.ProjectApiTest","tests.ProjectApiTest","projectShouldBeCreatedViaApi","Create Project via API",""
"passed","Fri Feb 02 10:10:36 GMT 2024","Fri Feb 02 10:10:50 GMT 2024","13772","QaseIO Smoke Test","Thread #1","tests.SuiteTest","tests.SuiteTest","suiteShouldBeUpdated","Update Suite",""
"passed","Fri Feb 02 10:10:12 GMT 2024","Fri Feb 02 10:10:26 GMT 2024","13492","QaseIO Smoke Test","Thread #1","tests.SuiteTest","tests.SuiteTest","suiteShouldBeCreated","Create Suite",""
"passed","Fri Feb 02 10:10:50 GMT 2024","Fri Feb 02 10:10:51 GMT 2024","750","QaseIO Smoke Test","Thread #1","tests.SuiteApiTest","tests.SuiteApiTest","suiteShouldBeCreatedViaApi","Create Suite via API",""
"passed","Fri Feb 02 10:09:59 GMT 2024","Fri Feb 02 10:10:01 GMT 2024","1752","QaseIO Smoke Test","Thread #1","tests.LoginTest","tests.LoginTest","emptyPasswordLogin","Unsuccessful login with empty password",""
"passed","Fri Feb 02 10:10:16 GMT 2024","Fri Feb 02 10:10:40 GMT 2024","24694","QaseIO Smoke Test","Thread #2","tests.TestCaseTest","tests.TestCaseTest","testCaseShouldBeRemoved","Remove Test Case",""
"passed","Fri Feb 02 10:12:15 GMT 2024","Fri Feb 02 10:12:16 GMT 2024","651","QaseIO Smoke Test","Thread #2","tests.ProjectApiTest","tests.ProjectApiTest","projectShouldBeRemovedViaApi","Remove Project via API",""
"passed","Fri Feb 02 10:11:47 GMT 2024","Fri Feb 02 10:11:59 GMT 2024","11561","QaseIO Smoke Test","Thread #2","tests.ProjectTest","tests.ProjectTest","projectShouldBeDeleted","Remove Project",""
"passed","Fri Feb 02 10:12:11 GMT 2024","Fri Feb 02 10:12:14 GMT 2024","3301","QaseIO Smoke Test","Thread #2","tests.ProjectTest","tests.ProjectTest","projectShouldNotBeCreatedEmptyProjectName","Create Project with empty project name",""
"passed","Fri Feb 02 10:12:18 GMT 2024","Fri Feb 02 10:12:19 GMT 2024","1166","QaseIO Smoke Test","Thread #2","tests.TestCaseApiTest","tests.TestCaseApiTest","testCaseShouldBeUpdatedViaApi","Update Test Case via API",""
"passed","Fri Feb 02 10:10:51 GMT 2024","Fri Feb 02 10:10:52 GMT 2024","1270","QaseIO Smoke Test","Thread #1","tests.SuiteApiTest","tests.SuiteApiTest","suiteShouldBeRemovedViaApi","Remove Suite via API",""
"passed","Fri Feb 02 10:12:17 GMT 2024","Fri Feb 02 10:12:18 GMT 2024","1354","QaseIO Smoke Test","Thread #2","tests.TestCaseApiTest","tests.TestCaseApiTest","testCaseShouldBeRemovedViaApi","Remove Test Case via API",""
"passed","Fri Feb 02 10:09:57 GMT 2024","Fri Feb 02 10:09:59 GMT 2024","1565","QaseIO Smoke Test","Thread #1","tests.LoginTest","tests.LoginTest","emptyInputLogin","Unsuccessful login with empty input",""
"passed","Fri Feb 02 10:09:54 GMT 2024","Fri Feb 02 10:09:56 GMT 2024","2708","QaseIO Smoke Test","Thread #1","tests.LoginTest","tests.LoginTest","emptyEmailLogin","Unsuccessful login with empty email",""
"passed","Fri Feb 02 10:10:26 GMT 2024","Fri Feb 02 10:10:35 GMT 2024","9019","QaseIO Smoke Test","Thread #1","tests.SuiteTest","tests.SuiteTest","suiteShouldBeRemoved","Remove Suite",""
"passed","Fri Feb 02 10:12:00 GMT 2024","Fri Feb 02 10:12:06 GMT 2024","6891","QaseIO Smoke Test","Thread #2","tests.ProjectTest","tests.ProjectTest","projectShouldBeUpdated","Update Project",""
